Activity,Shipment HBL/HAWB,input mode,submode,cbm,actual weight in kgs,Container ref,# containers,Container type,Container size,Container height,Origin name,Origin_date,Origin to port mode,Port of Loading name,Sail date,Primary mode Port-Port,Carrier,Vessel,Trip ID,Port of Discharge,Port to Destination mode,Destination,Customer Account,Customer Name,Delreq,MAWB,Remarks
LSP1,HKG127297728,OCEAN,FCL,27.02,3345.30,OOLU3661280,1,DRY,40,86,,29/03/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127297729,OCEAN,FCL,58.68,7972.60,OOLU8438900,1,DRY,40,86,,29/03/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120309402,OCEAN,FCL,25.55,4079.95,TWCU2052480,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120309512,OCEAN,FCL,66.38,7644.00,FSCU6474541,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120309513,OCEAN,FCL,66.38,7644.00,CRXU9912661,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120309514,OCEAN,FCL,55.92,6472.00,CRXU9890900,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120309515,OCEAN,FCL,40.02,4546.60,DFSU6831983,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120309893,OCEAN,FCL,59.33,7514.26,TWCU8013840,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120310077,OCEAN,FCL,42.90,8289.00,TWCU4037139,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120310211,OCEAN,FCL,39.78,4132.70,TWCU8023703,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120310838,OCEAN,FCL,36.32,3522.54,CRXU9853677,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120310839,OCEAN,FCL,57.12,5684.80,TWCU8024926,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120310840,OCEAN,FCL,38.76,7161.62,DFSU6642188,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120310841,OCEAN,FCL,37.96,6439.46,GESU5511939,1,DRY,40,86,,30/03/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120311989,OCEAN,FCL,46.13,8003.00,TWCU4013754,1,DRY,40,86,,02/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127300086,OCEAN,FCL,41.91,6865.00,BSIU9248171,1,DRY,40,86,,03/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127300091,OCEAN,FCL,57.88,8756.90,HMCU9040637,1,DRY,40,86,,03/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120311990,OCEAN,FCL,30.88,4815.60,TWCU8028161,1,DRY,40,86,,06/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127302268,OCEAN,FCL,22.37,3305.10,EMCU3141571,1,DRY,20,86,,08/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120312206,OCEAN,FCL,59.35,6814.50,FSCU9411402,1,DRY,40,86,,09/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120312207,OCEAN,FCL,59.35,6814.50,TWCU8014949,1,DRY,40,86,,09/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120312208,OCEAN,FCL,59.35,6739.50,TWCU8022121,1,DRY,40,86,,09/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120312610,OCEAN,FCL,43.71,4915.25,TWCU4034931,1,DRY,40,86,,09/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127303257,OCEAN,FCL,52.43,8605.60,OOLU8862441,1,DRY,40,86,,12/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120313151,OCEAN,FCL,8.52,1407.00,CRSU1055220,1,DRY,20,86,,12/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120313253,OCEAN,FCL,33.03,5800.57,CRXU9853790,1,DRY,40,86,,12/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120314159,OCEAN,FCL,18.62,2029.68,CRXU9890860,1,DRY,20,86,,12/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127303360,OCEAN,FCL,54.18,8084.30,MOTU0206974,1,DRY,40,86,,13/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127304213,OCEAN,FCL,58.06,9229.90,TCNU8296276,1,DRY,40,86,,14/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127304214,OCEAN,FCL,49.61,7551.70,TCNU9494466,1,DRY,40,86,,14/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120314160,OCEAN,FCL,38.90,6464.21,TWCU8010007,1,DRY,40,86,,18/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127304849,OCEAN,FCL,56.67,8692.10,TRLU5743990,1,DRY,40,86,,19/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127305693,OCEAN,FCL,51.42,7619.20,TCNU7823773,1,DRY,40,86,,20/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127306246,OCEAN,FCL,55.42,8790.60,TCNU7094080,1,DRY,40,86,,20/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120315088,OCEAN,FCL,57.49,6216.00,TWCU4012491,1,DRY,40,86,,20/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120315089,OCEAN,FCL,57.49,6216.00,TWCU4007319,1,DRY,40,86,,20/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120315090,OCEAN,FCL,57.49,6216.00,TWCU4030089,1,DRY,40,86,,20/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120315091,OCEAN,FCL,57.49,6216.00,TWCU4023198,1,DRY,40,86,,20/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120315092,OCEAN,FCL,57.49,6216.00,TWCU4023346,1,DRY,40,86,,20/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120315093,OCEAN,FCL,56.45,5978.05,TWCU4007094,1,DRY,40,86,,20/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120316200,OCEAN,FCL,56.73,5949.44,TWCU4024229,1,DRY,40,86,,20/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120316350,OCEAN,FCL,53.25,9531.16,TWCU8024443,1,DRY,40,86,,20/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127306409,OCEAN,FCL,51.62,8445.80,CRSU9166149,1,DRY,40,86,,22/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120317279,OCEAN,FCL,20.69,4509.86,TWCU2034784,1,DRY,20,86,,23/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120317280,OCEAN,FCL,48.80,10666.50,TWCU8022034,1,DRY,40,86,,23/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120317281,OCEAN,FCL,50.11,10814.50,GESU5044876,1,DRY,40,86,,23/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120317703,OCEAN,FCL,18.57,3901.85,TWCU2025838,1,DRY,20,86,,23/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120316358,OCEAN,FCL,41.92,6480.44,TWCU8019869,1,DRY,40,86,,23/04/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127309109,OCEAN,FCL,56.02,8501.80,TSLU0523470,1,DRY,40,86,,28/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127309984,OCEAN,FCL,52.37,7902.30,GVCU5288577,1,DRY,40,86,,29/04/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120318945,OCEAN,FCL,55.86,7175.40,TWCU8008720,1,DRY,40,86,,01/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120320584,OCEAN,FCL,27.47,5749.96,TWCU8010964,1,DRY,40,86,,01/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120322814,OCEAN,FCL,48.22,8186.37,TWCU4013796,1,DRY,40,86,,04/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127311142,OCEAN,FCL,49.18,7259.90,GESU6560265,1,DRY,40,86,,05/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120322640,OCEAN,FCL,33.94,7214.33,TWCU8023529,1,DRY,40,86,,07/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120320873,OCEAN,FCL,47.45,5390.97,GESU5193020,1,DRY,40,86,,07/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120320872,OCEAN,FCL,57.49,6195.00,GESU5042765,1,DRY,40,86,,07/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127313350,OCEAN,FCL,22.27,3287.10,OOLU3046677,1,DRY,20,86,,10/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120323198,OCEAN,FCL,41.94,8767.51,TWCU4024105,1,DRY,40,86,,11/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120322817,OCEAN,FCL,27.43,4431.35,TWCU8005314,1,DRY,40,86,,11/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120324309,OCEAN,FCL,45.46,8624.60,TWCU8012041,1,DRY,40,86,,11/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127313867,OCEAN,FCL,54.68,8485.50,GESU6433975,1,DRY,40,86,,12/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127314441,OCEAN,FCL,45.75,6800.20,TGHU9326823,1,DRY,40,86,,12/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120324564,OCEAN,FCL,19.66,4204.88,TWCU2024960,1,DRY,20,86,,15/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120322304,OCEAN,FCL,48.27,6086.03,TWCU8008252,1,DRY,40,86,,15/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127315471,OCEAN,FCL,52.45,7886.40,MOTU0301020,1,DRY,40,86,,18/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120324521,OCEAN,FCL,53.74,6561.64,FJKU6007722,1,DRY,40,86,,18/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120324310,OCEAN,FCL,10.26,1826.73,TWCU2031194,1,DRY,20,86,,18/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120324562,OCEAN,FCL,47.27,9514.82,TWCU4024131,1,DRY,40,86,,18/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120326197,OCEAN,FCL,38.81,6022.84,JTMU6004651,1,DRY,40,86,,18/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127317040,OCEAN,FCL,54.87,8498.30,DFSU6167792,1,DRY,40,86,,19/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127317038,OCEAN,FCL,58.40,9221.40,TSLU0522302,1,DRY,40,86,,19/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127316433,OCEAN,FCL,53.84,8334.40,TGHU9398090,1,DRY,40,86,,19/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127316434,OCEAN,FCL,53.57,8588.00,TGHU9322290,1,DRY,40,86,,19/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127317303,OCEAN,FCL,28.09,4118.10,EGHU9085613,1,DRY,40,86,,20/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120327196,OCEAN,FCL,57.49,6258.00,TWCU4042388,1,DRY,40,86,,21/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120327195,OCEAN,FCL,57.49,6258.00,TWCU4024810,1,DRY,40,86,,21/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120326044,OCEAN,FCL,48.67,5605.35,FJKU6008800,1,DRY,40,86,,21/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120326043,OCEAN,FCL,57.49,6258.00,TWCU4037191,1,DRY,40,86,,21/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120324520,OCEAN,FCL,59.58,7525.76,TWCU8006521,1,DRY,40,86,,21/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120325449,OCEAN,FCL,43.68,5950.00,TWCU8018190,1,DRY,40,86,,22/05/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127318004,OCEAN,FCL,34.31,5301.10,OOLU8534340,1,DRY,40,86,,24/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127318463,OCEAN,FCL,52.64,8638.90,TCLU5758563,1,DRY,40,86,,25/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127318462,OCEAN,FCL,55.18,8446.10,MOTU6712080,1,DRY,40,86,,25/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127318464,OCEAN,FCL,52.40,7569.80,MOTU0608443,1,DRY,40,86,,25/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127320427,OCEAN,FCL,48.33,7898.80,TGHU9039042,1,DRY,40,86,,31/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127320525,OCEAN,FCL,51.56,8115.30,FCIU8277579,1,DRY,40,86,,31/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127321158,OCEAN,FCL,52.39,8787.00,CRSU9237812,1,DRY,40,86,,31/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,HKG127320158,OCEAN,FCL,58.51,8976.70,GESU6458654,1,DRY,40,86,,31/05/2012,ROAD,HONG KONG,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120330645,OCEAN,FCL,17.98,3730.03,TWCU8010671,1,DRY,20,86,,01/06/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120328707,OCEAN,FCL,50.96,4543.50,TWCU8012381,1,DRY,40,86,,01/06/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120328708,OCEAN,FCL,40.52,4636.44,CRXU9890900,1,DRY,40,86,,01/06/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120328706,OCEAN,FCL,19.85,2195.18,TWCU2061115,1,DRY,20,86,,01/06/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SHA120328705,OCEAN,FCL,25.95,2275.00,TWCU2018989,1,DRY,40,86,,01/06/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120330648,OCEAN,FCL,18.96,3234.00,JTMU6000759,1,DRY,20,86,,01/06/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120329885,OCEAN,FCL,42.16,8819.97,TWCU8017167,1,DRY,40,86,,01/06/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
LSP1,SZV120329886,OCEAN,FCL,42.22,7249.68,TWCU4024466,1,DRY,40,86,,01/06/2012,ROAD,SHANGHAI,,OCEAN,,,,TOKYO,ROAD,,,,,0,
